year,month,pre_Region1,pre_Region2,pre_Region3,pre_Region4,pre_Region5,pre_Region6,tmp_Region1,tmp_Region2,tmp_Region3,tmp_Region4,tmp_Region5,tmp_Region6,spi3_1,spi3_2,spi3_3,spi3_4,spi3_5,spi3_6,tmp3m_1,tmp3m_2,tmp3m_3,tmp3m_4,tmp3m_5,tmp3m_6
2012,5,324.0400513,329.403874,283.3033272,130.8133502,65.04043459,42.24513498,25.91194228,25.05075627,27.01604557,26.0695595,24.51730091,13.16007021,0.826814706,0.329004508,-0.27734098,-0.742177124,-1.081686999,-0.168493267,25.99314283,25.31573676,26.76610243,26.17335984,25.43770908,13.77364596
2012,6,243.5277053,308.9803925,186.3464758,57.81402849,34.47983539,28.5485765,25.72701547,24.99556009,26.95562279,25.64482603,23.72611818,12.64370218,-0.878350934,-0.596287265,-1.241564659,-0.501423335,0.318145412,-0.11843596,25.86206128,25.11666257,26.90069615,26.06739675,24.74664309,13.33076705
2012,7,223.9680212,327.6949656,182.4689246,38.52194498,10.48113758,19.39798994,25.36927512,24.72674206,26.95983106,25.57270251,23.51355686,12.33354316,-0.955147487,-1.344891889,-0.922836716,-0.251271282,0.957336239,-1.352264094,25.66941096,24.92435281,26.97716647,25.76236268,23.91899198,12.71243852
2012,8,162.7502618,273.0841546,112.0456266,35.6106739,8.734491886,15.93866226,25.97624867,25.03080063,27.63036473,26.52828602,25.02278407,12.55491658,-1.907026254,-1.799997519,-0.547978289,-1.013584274,-0.22949053,-1.722533099,25.69084642,24.91770093,27.18193953,25.91527152,24.08748637,12.51072064
2012,9,178.9119389,188.1576368,55.67237896,95.20675033,40.91743335,30.94920851,26.53225615,25.39366139,28.04914821,27.42395088,27.31641266,13.66639116,-1.692093179,-1.426471456,-0.0524812,-1.090768824,-1.041763616,-2.157234107,25.95925998,25.05040136,27.546448,26.50831313,25.2842512,12.85161697
2012,10,171.1475984,161.0035574,59.07826894,157.9451306,64.19115484,61.42814721,26.77641757,26.10165373,28.36033991,27.65305259,27.85331499,14.1067271,-1.696251845,-1.430296878,-0.387657033,-1.541915191,-2.279777039,-1.870734106,26.42830746,25.50870525,28.01328428,27.20176316,26.73083724,13.44267828
2012,11,194.8192105,128.5629001,67.14910596,217.3391449,234.7121272,88.03879022,27.04224147,26.33446496,28.32387786,27.00031092,26.51260605,14.50392432,-1.360655851,-1.684868447,-0.930207136,-0.973172748,-0.064798852,-0.970932229,26.7836384,25.94326003,28.24445533,27.3591048,27.22744457,14.09234753
2012,12,206.8494157,116.746682,150.7234028,271.0905215,181.5905544,130.459449,26.55868553,25.8855917,27.3920138,26.35470476,26.49653493,14.23155902,-1.234398606,-1.320686072,-0.479447653,-0.822632084,-0.758080991,0.303736634,26.79244819,26.1072368,28.02541053,27.00268942,26.95415199,14.28073681
2013,1,194.544987,52.67308894,186.9069935,300.8050227,258.601657,113.6615067,26.79043468,25.97770846,27.16090146,26.4097229,26.16562236,14.18010764,-1.086889596,-1.436617785,-0.83036078,-0.301905135,0.3208888,0.396809773,26.79712056,26.06592171,27.62559771,26.58824619,26.39158778,14.30519699
2013,2,326.9483473,126.7472118,299.1527714,310.3656181,193.583183,175.3273087,26.17999601,25.63600357,26.45516012,26.06709486,26.2821602,14.07471204,0.484793777,-0.044538619,0.210715125,0.114859583,-1.025258829,0.908064063,26.50970541,25.83310124,27.00269179,26.27717418,26.3147725,14.16212623
2013,3,315.3374065,122.1832155,302.8249218,318.4800866,213.3073094,102.6784488,26.56574977,26.4144058,27.08688021,26.40324039,26.10333621,13.95255706,0.796708465,0.13075177,0.362112993,0.280325924,-0.283869796,-0.024225259,26.51206015,26.00937261,26.9009806,26.29335272,26.18370626,14.06912558
2013,4,287.7828283,231.9540393,325.5094501,199.1189418,106.367286,62.09197073,26.40737432,25.93343454,27.01499387,26.45663808,25.49723473,13.06970264,1.086011115,0.730520851,1.165223326,-0.335339381,-0.863467628,-0.2867755,26.38437337,25.99461464,26.85234473,26.30899111,25.96091038,13.69899058
2013,5,359.1495458,334.430001,364.8612755,135.4493165,56.09880259,65.03291618,26.05463554,25.29208324,26.98976356,26.18592508,24.8183802,12.67406162,0.422188953,0.284490356,1.208313201,-0.591164733,-0.225466851,-0.915577819,26.34258654,25.87997452,27.03054588,26.34860118,25.47298371,13.23210711
2013,6,271.4047294,335.6233549,204.8171016,83.41726622,61.07803046,32.62135331,25.80949682,25.00360016,27.21515096,26.10012316,24.21380841,11.69569012,0.008146695,-0.32781178,0.737730207,-0.045168103,0.914854726,-0.432133119,26.09050223,25.40970598,27.07330279,26.24756211,24.84314111,12.47981813
2013,7,244.26914,319.8648559,214.110454,48.5527877,8.694106443,27.55160568,25.01944765,24.69850874,26.81695778,25.43597449,23.82790806,11.27217024,0.050639529,-1.060591137,0.981105494,1.265714224,1.628401336,0.210304804,25.62786,24.99806404,27.00729076,25.90734091,24.28669889,11.88064066
2013,8,246.6997677,341.1372773,150.742547,52.76180191,18.6415274,33.3545076,25.38712205,24.8418529,27.3893451,25.95437373,24.27871184,11.73563172,0.100019837,-0.78882897,0.977232427,1.204908808,1.537759132,-0.161695841,25.40535551,24.84798726,27.14048461,25.83015713,24.10680943,11.56783069
2013,9,200.7872635,241.9466577,81.69024108,110.0421555,44.26112383,45.93204346,26.5094289,25.6014771,27.95010913,27.06048527,26.39377402,13.08296086,0.316296753,-0.135860109,1.554956497,0.543485802,-0.480491966,-0.113004977,25.6386662,25.04727958,27.38547067,26.15027783,24.83346464,12.03025428
2013,10,199.2109703,171.7633071,77.14468448,190.5644415,142.2390795,97.5808792,26.73692812,25.87529562,28.21364356,27.21824487,26.67890253,13.443655,0.283057796,0.155948844,1.241500785,0.669649514,0.573453655,0.988808633,26.21115969,25.43954187,27.85103259,26.74436796,25.78379613,12.75408253
2013,11,232.3839243,188.4379637,110.2168984,230.1477974,193.422683,75.65059295,26.62843787,25.783942,27.64120134,26.5128037,26.25262648,14.12642186,-0.081554328,0.046600685,0.79603269,0.791982394,0.807103004,0.415040847,26.62493163,25.75357157,27.93498467,26.93051128,26.44176767,13.55101257
2013,12,191.196404,148.7687488,139.2489588,273.2570521,287.5814076,117.3673368,26.89703838,25.65353536,27.68264857,26.65374487,26.23074666,14.3745729,-0.542515848,0.302791665,0.326300384,0.42897038,1.631589274,0.588221823,26.75413479,25.77092433,27.84583115,26.79493115,26.38742522,13.98154992
2014,1,231.455793,63.73367024,194.4385284,290.6997126,255.2238897,120.1025759,26.52175687,25.56060472,26.75705454,26.10229127,25.79433099,14.26461374,-0.292168161,0.276525767,-0.29449648,-0.183390821,1.29661374,-0.039698633,26.68241104,25.66602736,27.36030148,26.42294661,26.09256804,14.25520283
2014,2,275.0582305,79.14550748,289.7142413,323.9456468,252.8800433,91.2242164,26.27541603,25.87618343,26.3500973,25.8791495,25.77282797,13.85038054,0.123153976,-0.109375079,0.050378095,0.236786316,1.370688621,-0.759123891,26.5647371,25.6967745,26.92993347,26.21172855,25.93263521,14.16318906
2014,3,288.8681831,82.08713086,263.9769064,330.9024419,246.6632372,142.0843168,26.47507728,26.30033753,26.70152569,26.09802747,25.72608602,13.91698478,0.412310502,-1.09792407,-0.09598069,0.606124223,0.943296833,-0.619778302,26.4240834,25.91237523,26.60289251,26.02648941,25.76441499,14.01065968
2014,4,329.2411715,176.7718344,274.5281417,232.983413,123.3977334,83.68093008,26.43485609,26.06912493,26.92961441,26.62909867,26.03637291,13.75720494,0.696420489,-1.263566883,-0.129181643,1.033056339,1.09538416,-0.671373238,26.39511647,26.08188196,26.66041247,26.20209188,25.84509563,13.84152342
2014,5,341.0931471,249.3394393,283.176125,143.2982255,56.42266325,55.32570617,26.30559108,25.72062749,27.02152057,26.21047939,24.75630973,13.42475866,0.389316877,-1.917495841,-1.246776477,0.839320513,0.748676863,0.194614397,26.40517482,26.03002999,26.88422023,26.31253517,25.50625622,13.69964946
2014,6,262.7348428,342.9888335,237.480116,63.87803745,21.04722038,35.59281843,26.12981735,25.46496025,27.08746342,26.08342797,24.16033526,13.06156541,0.199432989,-1.856071061,-0.809731838,0.646282531,0.168015051,0.084538819,26.29008817,25.75157089,27.01286614,26.30766867,24.9843393,13.41450967
2014,7,252.5538919,272.8335519,165.7472345,48.01619836,23.3321987,32.71767612,25.56685281,25.15307513,26.98231235,25.67327944,23.72827778,12.10653956,-0.166350855,-2.603834509,-0.404036006,0.822164639,0.538798026,0.147041512,26.00075374,25.44622096,27.03043212,25.98906227,24.21497425,12.86428788
2014,8,217.0095665,289.4981098,120.8433517,58.98233315,17.88069265,31.863069,25.80339783,25.05682751,27.56785163,26.72734661,25.68481314,12.76695061,-0.334969138,-1.853387675,0.215602273,0.668428493,0.264081833,0.140509718,25.833356,25.2249543,27.21254247,26.16135134,24.52447539,12.64501853
